Место;Название;Год;Режисер;Жанр
1;Побег из Шоушенка;1994;Фрэнк Дарабонт;драма
2;Крёстный отец;1972;Фрэнсис Форд Коппола;детектив, драма
3;Крёстный отец 2;1974;Фрэнсис Форд Коппола;детектив, драма
4;Тёмный рыцарь;2008;Кристофер Нолан;боевик, детектив, драма
5;12 разгневанных мужчин;1957;Сидни Люмет;драма, детектив
6;Список Шиндлера;1993;Стивен Спилберг;драма, биография, исторический фильм
7;Властелин колец: Возвращение короля;2003;Питер Джексон;фэнтези, приключение, боевик
8;Криминальное чтиво;1994;Квентин Тарантино;детектив, драма
9;Хороший, плохой, злой;1966;Серджо Леоне;приключение, вестерн
10;Властелин колец: Братство Кольца;2001;Питер Джексон;фэнтези, приключение, боевик
11;Бойцовский клуб;1999;Дэвид Финчер;драма, триллер, мистический фильм
12;Форрест Гамп;1994;Роберт Земекис;драма, мелодрама
13;Начало;2010;Кристофер Нолан;боевик, мистический фильм, научная фантастика
14;Властелин колец: Две крепости;2002;Питер Джексон;фэнтези, приключение, боевик
15;Звёздные войны. Эпизод V: Империя наносит ответный удар;1980;Ирвин Кершнер;научная фантастика, приключение, боевик
16;Матрица;1999;Энди и Ларри Вачовски;научная фантастика, боевик, приключение
17;Славные парни;1990;Мартин Скорсезе;детектив, триллер, драма
18;Пролетая над гнездом кукушки;1975;Милош Форман;драма
19;Семь самураев;1954;Акира Куросава;приключение, драма
20;Семь;1995;Дэвид Финчер;детектив, драма, мистический фильм
21;Жизнь прекрасна;1997;Роберто Бениньи;драма, мелодрама, военный фильм
22;Город Бога;2002;Фернанду Мейреллиш;детектив, драма
23;Молчание ягнят;1991;Джонатан Демми;детектив, мистический фильм
24;Эта прекрасная жизнь;1946;Фрэнк Капра;драма, сказка, семейный фильм
25;Звёздные войны. Эпизод IV: Новая надежда;1977;Джордж Лукас;научная фантастика, приключение, боевик
26;Спасти рядового Райана;1998;Стивен Спилберг;боевик, драма, исторический фильм
27;Унесённые призраками;2001;Хаяо Миядзаки;аниме, приключение, семейный фильм
28;Зелёная миля;1999;Фрэнк Дарабонт;детектив, драма, фэнтези
29;Паразиты;2019;Пон Чжун Хо;комедия, драма, триллер
30;Интерстеллар;2014;Кристофер Нолан;приключение, научная фантастика
31;Леон;1994;Люк Бессон;детектив, триллер, драма
32;Подозрительные лица;1995;Брайан Сингер;детектив, триллер, мистический фильм
33;Харакири;1962;Масаки Кобаяси;боевик, драма, мистический фильм
34;Король Лев;1994;Роджер Аллерс, Роб Минкофф;мультфильм, приключение
35;Назад в будущее;1985;Роберт Земекис;научная фантастика, приключение, семейный фильм
36;Пианист;2002;Роман Полански;биография, драма, военный фильм
37;Терминатор 2: Судный день;1991;Джеймс Кэмерон;боевик, научная фантастика, триллер
38;Американская история Икс;1998;Тони Кэй;драма, детектив
39;Новые времена;1936;Чарли Чаплин;комедия, мелодрама, драма
40;Психо;1960;Альфред Хичкок;фильм ужасов, триллер, мистический фильм
41;Гладиатор;2000;Ридли Скотт;боевик, приключение, драма
42;Огни большого города;1931;Чарли Чаплин;комедия, драма, мелодрама
43;Отступники;2006;Мартин Скорсезе;детектив, драма, мистический фильм
44;1+1;2011;Оливье Накаш, Эрик Толедано;трагикомедия
45;Одержимость;2014;Дамьен Шазель;драма, музыкальный фильм
46;Гамильтон;2020;Томас Каил;биография, драма, исторический фильм
47;Престиж;2006;Кристофер Нолан;фэнтези, драма, мистический фильм
48;Могила светлячков;1988;Исао Такахата;мультфильм, драма, военный фильм
49;Однажды на Диком Западе;1968;Серджо Леоне;вестерн
50;Касабланка;1942;Майкл Кёртиц;мелодрама, военный фильм
51;Новый кинотеатр «Парадизо»;1988;Джузеппе Торнаторе;комедия, драма, мелодрама
52;Окно во двор;1954;Альфред Хичкок;детектив, мистический фильм, мелодрама
53;Чужой;1979;Ридли Скотт;фильм ужасов, научная фантастика
